"Phone Code","Description"
"593-000","Ecuador Toll Free"
"593-000","Ecuador Toll Free"
"593-000","virtualNumberType_description_ECTF-CNT"
"593-000","Ecuador Toll Free - Mobile Enabled"
"593-000","virtualNumberType_description_ECTF-MOBILE-MOVISTARCLARO"
