"Phone Code","Description"
"34-080","Spain Toll Free"
"34-099","Spain Toll Free - CORP"
"34-098","Spain Toll Free - Mobile Enabled"
"34-090","Spain Toll Free - Mobile Enabled"
"34-086","Spain Toll Free Mobile Enabled High Volume"
