"Phone Code","Description"
"55-007","Brazil Toll Free"
"55-008","Brazil Toll Free - CORP"
"55-008","Brazil Toll Free"
"55-999","Brazil Toll Free"
"55-008","Brazil Toll Free"
"55-008","Brazil Toll Free - Mobile Enabled"
"55-999","Brazil Toll Free - Mobile Enabled"
"55-007","virtualNumberType_description_BRTF-MOBILE-LOWCOST"
