"Phone Code","Description"
"30-800","Greece Toll Free"
"30-800","Greece Toll Free (800) Fixed Access"
"30-999","Greece Toll Free - CORP"
"30-084","TODO placeholder"
"30-800","Greece Toll Free Mobile Accessible"
