"Phone Code","Description"
"66-180","Thailand Toll Free"
"66-180","Thailand Toll Free"
"66-999","Thailand Toll Free - CORP"
"66-180","Thailand Toll Free High Volume"
"66-000","Thailand Toll Free"
"66-000","virtualNumberType_description_THTF-LOWCPM"
