"Phone Code","Description"
"46-079","Sweden Toll Free"
"46-079","Sweden Toll Free - CORP"
"46-079","Sweden Toll Free High Volume"
"46-079","Sweden Toll Free"
"46-079","Sweden Toll Free Mobile Enabled"
"46-007","Sweden Toll Free Mobile Enabled 0200"
