"Phone Code","Description"
"41-008","Switzerland Toll Free"
"41-999","Switzerland Toll Free - CORP"
"41-008","Switzerland Toll Free - Mobile Enabled"
"41-008","virtualNumberType_description_CHTF-MOBILE-CORP"
"41-008","virtualNumberType_description_CHTF-MOBILE-LOWCPM"
"41-008","virtualNumberType_description_CHTF-MOBILE-LOWCPMK"
