"Phone Code","Description"
"08001","Indonesia Toll Free"
"62-780","Indonesia Toll Free 007"
"62-999","Indonesia Toll Free - CORP"
"62-180","Indonesia Toll Free High Volume"
"62-180","Indonesia Toll Free"
