"Phone Code","Description"
"86-999","China Toll Free (800)"
"86-072","China Toll Free (800) Full Country Coverage"
"86-999","China Toll Free (800) - CORP"
"86-800","China Toll Free (800)"
"86-800","China Toll Free (800) Low Volume"
