"Phone Code","Description"
"49-001","Germany Toll Free"
"49-001","Germany Toll Free - CORP"
"49-001","Germany Toll Free Fixed Only"
"49-000","Germany Toll Free - Mobile Enabled"
"49-999","virtualNumberType_description_DETF-MOBILE-CORP"
"49-001","Germany Toll Free Mobile Only"
