"Phone Code","Description"
"58-999","Venezuela Toll Free"
"58-001","Venezuela Toll Free - CORP"
"58-001","Venezuela Toll Free High Volume"
"58-001","Venezuela Toll Free"
"58-006","Venezuela Toll Free Mobile Enabled"
