"Phone Code","Description"
"84-011","Vietnam Toll Free"
"84-032","Vietnam Toll Free 120"
"84-102","virtualNumberType_description_VNTF-121"
"84-280","Vietnam Toll Free 122"
"84-999","Vietnam Toll Free 800"
